Keypoint Index	Keypoint Name	X	Y	Z
0	Pelvis	-0.0	0.0	0.22871264815330505
1	Right Hip	0.0893709734082222	0.13970543444156647	0.23328405618667603
2	Right Knee	0.45591625571250916	-0.09024415910243988	0.1627790629863739
3	Right Ankle	0.08048535138368607	0.10245823860168457	0.18703943490982056
4	Left Hip	-0.09170019626617432	-0.13583004474639893	0.2244565486907959
5	Left Knee	-0.48057764768600464	-0.2391510158777237	0.0
6	Left Ankle	-0.64947509765625	0.017837241291999817	0.04598754644393921
7	Thoracic	0.09988793730735779	-0.042984504252672195	0.49731141328811646
8	Sternum	0.19997423887252808	-0.12800633907318115	0.7662105560302734
9	Neck	0.2839599549770355	-0.15790560841560364	0.9890708923339844
10	Head	0.25834789872169495	-0.1484495848417282	1.0383094549179077
11	Right Shoulder	0.1214284673333168	-0.27763035893440247	0.6972872018814087
12	Right Elbow	0.5021894574165344	-0.3403315544128418	0.7038267850875854
13	Right Wrist	0.8083858489990234	-0.22492514550685883	0.8399868011474609
14	Left Shoulder	0.28172510862350464	0.032603852450847626	0.814943790435791
15	Left Elbow	0.5423449873924255	0.16511552035808563	0.8454598188400269
16	Left Wrist	0.7758111357688904	0.07288538664579391	0.922985315322876
